absorbuoti, absorbúoja, absorbãvo
fokusuoti, fokusuoja, fokusavo
forminti, formina, formino
formuoti, formúoja, formãvo
formuotis, formúojasi, formãvosi
fotografuoti, fotografúoja, fotografãvo
funkcionuoti, funkcionúoja, funkcionãvo
gabenti, gabẽna, gabẽno
gadinti, gadìna, gadìno
gagėti, gagà, gagėjo
gailėti, gaĩli, gailė́jo
gailėtis, gaĩlisi, gailė́josi
gaišti, gaĩšta, gaĩšo
gaivinti, gaivìna, gaivìno
galąsti, galánda, galándo
galėti, gãli, galė́jo
galioti, galiója, galiójo
galvoti, galvója, galvójo
gaminti, gamìna, gamìno
gamintis, gamìna, gamìno
ganyti, gãno, gãnė
garantuoti, garantúoja, garantãvo
garbanoti, garbanoja, garbanojo
garbinti, gárbina, gárbino
garsėti, garsė́ja, garsė́jo
garuoti, garúoja, garãvo
gąsdinti, gą̃sdina, gą̃sdino
gąstauti, gąstauja, gąstavo
gaubti, gaũbia, gaũbė
gaudyti, gáudo, gáudė
gausėti, gausė́ja, gausė́jo
gauti, gáuna, gãvo
gebėti, gẽba, gebė́jo
gedėti, gẽdi, gedė́jo
gėdinti, gė́dina, gė́dino
gėdintis, gė́dinasi, gė́dinosi
gėdyti, gėdyja, gėdyjo
gėdytis, gė́dijasi, gė́dijosi
geibti, geĩbsta, geibo
geisti, geĩdžia, geĩdė
gelbėti, gélbėja, gélbėjo
gelsti, gel̃sta, gel̃to
gelsvinti, gelsvina, gelsvino
gelti, gẽlia, gėlė̃
geltonėti, geltonė́ja, geltonėjo
geltoninti, geltonina, geltonino
geltonuoti, geltonúoja, geltonãvo
genėti, genė́ja, genė́jo
gerbti, ger̃bia, ger̃bė
gerėti, gerė́ja, gerė́jo
gėrėtis, gė̃risi, gėrė́josi
gerinti, gẽrina, gẽrino
gerintis, gẽrina, gẽrino
gerti, gẽria, gė́rė
gervuogiauti, gervuogiauja, gervuogiavo
gesinti, gesìna, gesìno
gesti, geñda, gẽdo
gydyti, gýdo, gýdė
gydytis, gýdosi, gýdėsi
giedoti, giedoja, giedójo
giedrėti, giedrė́ja, giedrė́jo
giedryti, giedrija, giedrijo
giedrytis, giẽdrijasi, giẽdrijosi
gilėti, gilė́ja, gilė́jo
gilinti, gìlina, gìlino
gilintis, gìlinasi, gìlinosi
gilti, gyla, gylė̃
gimdyti, gim̃do, gim̃dė
giminuotis, giminuojasi, giminiãvosi
gimti, gìmsta, gìmė
ginčyti, giñčija, giñčijo
ginčytis, giñčijasi, giñčijosi
ginkluoti, ginklúoja, ginklãvo
ginti, gìna, gýnė
gintis, gìna, gýnė
girdėti, gir̃di, girdė́jo
girdyti, gir̃do, gìrdė
girgždėti, girgždà, girgždė́jo
girtauti, girtáuja, girtãvo
girti, girià, gýrė
girtis, gìriasi, gýrėsi
gyti, gỹja, gìjo
gyventi, gyvẽna, gyvẽno
gyventis, gyvẽnasi, gyvẽnosi
gyvėti, gyvė́ja, gyvė́jo
gyvinti, gývina, gývino
gyvuoti, gyvúoja, gyvãvo
gižti, gỹžta, gìžo
glamonėti, glamonė́ja, glamonė́jo
glaudyti, glaudo, glaũdė
glausti, glaũdžia, glaũdė
glaustis, glaũdžiasi, glaũdėsi
glaustytis, glaũdžiasi, glaũdėsi
glėbti, glė́bia, glė́bė
glerti, glęra, glero
gležti, glę̃žta, gležo
globoti, globója, globójo
glostyti, glósto, glóstė
glūdėti, glū̃di, glūdė́jo
gnaibyti, gnáibo, gnáibė
gnybtelėti, gnybtelėja, gnýbtelėjo
gnybti, gnýbia, gnybė
gniuždyti, gniùždo, gniùždė
gniužti, gniužta, gniùžo
gobtis, gniužta, gniùžo
godėti, gõdi, godėjo
grabinėti, grabinė́ja, grabinė́jo
graibyti, graĩbo, graĩbė
graibytis, graĩbosi, graĩbėsi
gramdyti, grámdo, grámdė
grasinti, grasìna, grasìno
graudenti, graudẽna, graudẽno
graudentis, graudẽna, graudẽno
graudinti, graudìna, graudìno
graužti, gráužia, gráužė
graužtis, gráužiasi, gráužėsi
graviruoti, graviruoja, graviravo
gražėti, gražė́ja, gražė́jo
gražinti, grãžina, grãžino
grąžinti, grãžina, grãžino
gražintis, grãžinasi, grãžinosi
grėbti, grė́bia, grė́bė
greitinti, greĩtina, greĩtino
grėsti, grẽsia, grė̃sė
gręžti, grę̃žia, grę̃žė
griaudėti, griaudė́ja, griaudė́jo
griausti, griáudžia, griáudė
griauti, griáuna, grióvė
grybauti, grybáuja, grybãvo
grybštelėti, grybštelėja, grýbštelėjo
griebti, griẽbia, griẽbė
griebtis, griẽbia, griẽbė
grieti, grieja, griejo
griežti, gríežia, gríežė
griežtinti, gríežtina, gríežtino
grimti, grima, grìmo
grimuoti, grimúoja, grimãvo
grimzti, grim̃zta, grim̃zdo
grįsti, griñdžia, griñdė
griūti, griū̃va, griùvo
grizti, gryzta, grizo
grįžti, grį̃žta, grį̃žo
grobstyti, gróbsto, gróbstė
grobti, gróbia, gróbė
groti, grója, grójo
grožėtis, grõžisi, grožė́josi
grūdinti, grū́dina, grū́dino
grūmoti, grūmója, grūmójo
grumtis, grùmiasi, grū́mėsi
grūsti, grūstà, grū́do
gudrauti, gudráuja, gudrãvo
gudrėti, gudrė́ja, gudrėjo
guglinti, guglina, guglino
gugti, guñga, gugo
guldyti, gul̃do, gul̃dė
gulėti, gùli, gulė́jo
gulti, gùla, gùlė
gultis, gùlasi, gùlėsi
gundyti, gùndo, guñdė
guosti, gúodžia, gúodė
guostis, gúodžia, gúodė
gurkšnoti, gurkšnója, gurkšnójo
gūžtis, gū̃žiasi, gū̃žėsi
gverti, gvęra, gvẽro
gvildenti, gvildẽna, gvildẽno
hipnotizuoti, hipnotizúoja, hipnotizãvo
identifikuoti, identifikúoja, identifikãvo
ieškoti, íeško, ieškójo
ignoruoti, ignorúoja, ignorãvo
ilgėti, ilgė́ja, ilgė́jo
ilgėtis, il̃gisi, ilgė́josi
ilsėti, ìlsi, ilsė́jo
ilsėtis, ìlsisi, ilsė́josi
ilsinti, ilsìna, ilsìno
imigruoti, imigrúoja, imigrãvo
imituoti, imitúoja, imitãvo
imponuoti, imponúoja, imponãvo
importuoti, importúoja, importãvo
improvizuoti, improvizúoja, improvizãvo
imti, ìma, ė̃mė
imtis, ìmasi, ė̃mėsi
infekuoti, infekúoja, infekavo
informuoti, informúoja, informãvo
inkšti, iñkščia, inšktė
inspiruoti, inspirúoja, inspirãvo
integruoti, integrúoja, integrãvo
integruotis, integrúojasi, integrãvosi
interpretuoti, interpretúoja, interpretãvo
investuoti, investúoja, investãvo
irkluoti, irklúoja, irklãvo
irti, yrà, ìro
irtis, ìriasi, ýrėsi
issigąsti, išsigą̃sta, išsigañdo
isšikeroti, išsikerója, išsikerójo
izoliuoti, izoliúoja, izoliãvo
jaudinti, jáudina, jáudino
jaudintis, jáudinasi, jáudinosi
jaukinti, jaukìna, jaukìno
jaukti, jaũkia, jaũkė
jauktis, jaũkiasi, jaũkėsi
jausti, jaũčia, jaũtė
jaustis, jaũčiasi, jaũtėsi
jodinėti, jodinė́ja, jodinė́jo
joti, jója, jõjo
judėti, jùda, judė́jo
judinti, jùdina, jùdino
jungti, jùngia, jungė̃
jungtis, jùngiasi, jùngėsi
juodėti, juodėja, juodėjo
juodinti, júodina, júodino
juoduoti, juodúoja, juodãvo
juokauti, juokáuja, juokãvo
juokinti, juõkina, juõkino
juoktis, juõkiasi, juõkėsi
justi, juñta, jùto
kabėti, kabà, kabė́jo
kabinti, kabinà, kabìno
kaboti, kãbo, kabójo
kainuoti, kainúoja, kainãvo
kaisti, kaĩsta, kaĩto
kaišioti, káišioja, káišiojo
kaitinti, kaĩtina, kaĩtino
kaitintis, kaĩtinasi, kaĩtinosi
kakoti, kakoja, kakojo
kalbėti, kalbà, kalbė́jo
kalbėtis, kal̃basi, kalbė́josi
kalbinti, kálbina, kálbino
kaldinti, káldina, káldino
kalėti, kãli, kalė́jo
kalti, kãla, kalė̃
kaltinti, káltina, káltino
kamšyti, kam̃šo, kam̃šė
kamuoti, kamúoja, kamãvo
kamuotis, kamúojasi, kamãvosi
kandidatuoti, kandidatúoja, kandidatãvo
kandžioti, kándžioja, kándžiojo
kankinti, kankìna, kankìno
kankintis, kankìna, kankìno
kariauti, kariáuja, kariãvo
karpyti, carp, kar̃pė
karsti, kar̃sta, kar̃to
karstytis, kárstosi, kárstosi
karščiuoti, karščiúoja, karščiãvo
karščiuotis, karščiúojasi, karčiavosi
karšinti, káršina, káršino
karšti, káršina, káršino
karti, kãria, kórė
kartoti, kartója, kartójo
kartotis, kartója, kartójo
karūnuoti, karūnúoja, karūnãvo
kasinėti, kasinė́ja, kasinė́jo
kasyti, kãso, kãsė
kasytis, kãso, kãsė
kąsti, kãso, kãsė
kasti, kasà, kãsė
kastis, kãsasi, kãsėsi
kaukti, kaũkia, kaũkė
kaulėti, kaulė́ja, kaulėjo
kaupti, kaũpia, kaũpė
kauptis, kaũpiasi, kaũpėsi
kaustyti, káusto, káustė
kauti, káuna, kovė
kautis, káunasi, kóvėsi
kavoti, kavoja, kavojo
kedenti, kedẽna, kedẽno
keiksnoti, keiksnója, keiksnójo
keikti, kéikia, kéikė
keiktis, kéikiasi, kéikėsi
keisti, keĩčia, keĩtė
keistis, keĩčiasi, keĩtėsi
keliauti, keliáuja, keliãvo
kelti, kẽlia, kė́lė
keltis, kẽliasi, kė́lėsi
kenkti, keñkia, keñkė
kentėti, keñčia, kentė́jo
kepinti, kẽpinta, kẽpino
kepti, kẽpa, kẽpė
keptis, kẽpa, kẽpė
kerėti, kẽri, kerė́jo
kergti, ker̃gia, ker̃gė
kerpėti, kerpė́ja, kerpė́jo
keršyti, ker̃šija, ker̃šijo
kerštauti, kerštáuja, kerštãvo
kerti, kę̃ra, kẽro
kęsti, kę̃ra, kẽro
kėsti, kečia, kė́tė
ketinti, ketìna, ketìno
keturgubinti, keturgubina, keturgubino
kežti, kęžta, kežo
kibirkščiuoti, kibirkščiúoja, kibirkščiãvo
kibti, kim̃ba, kìbo
kikenti, kikẽna, kikẽno
kylėti, kỹli, kylėjo
kilnėti, kilnėja, kilnėjo
kilnoti, kilnója, kilnójo
kilstelėti, kìlsteli, kìlstelėjo
kilti, kỹla, kìlo
kimšti, kem̃ša, kìmšo
kimštis, kem̃šasi, kim̃šosi
kinkyti, kiñko, kiñkė
kirbėti, kìrba, kirbė́jo
kirbti, kirbsta, kirbo
kirčiuoti, kirčiúoja, kirčiãvo
kirdyti, kirdo, kirdė
kirkinti, kìrkina, kìrkino
kirmyti, kirmìja, kirmìjo
kirpti, ker̃pa, kir̃po
kirptis, ker̃pa, kir̃po
kirsti, ker̃ta, kir̃to
kirstis, ker̃tasi, kir̃tosi
kiršinti, kìršina, kir̃šino
kisti, kiñta, kìto
kyšoti, kýšo, kýšojo
kiurdyti, kiùrdo, kiurdė
klaidinti, klaidìna, klaidìno
klaidžioti, kláidžioja, kláidžiojo
klajoti, klajója, klajójo
klastoti, klastója, klastójo
klaupti, klaũpia, klaũpė
klauptis, klaũpiasi, klaũpėsi
klausinėti, klausinė́ja, klausinė́jo
klausyti, klaũso, klaũsė
klausytis, klaũsosi, klaũsėsi
klausti, kláusia, kláusė
klerti, klęra, klèro
klestėti, klẽsti, klestė́jo
kliautis, kliaunasi, klióvėsi
klibinti, klìbina, klìbino
kliedėti, klíedi, kliedė́jo
klijuoti, klijúoja, klijãvo
klykti, klỹkia, klỹkė
klimpti, klim̃psta, klim̃po
klysti, klýsta, klýdo
kliudyti, kliùdo, kliùdė
kliustelėti, kliustelėja, kliustelė́jo
kliūti, kliū̃va, kliùvo
klostytis, klóstosi, klóstėsi
kloti, klója, klójo
klotis, klójasi, klójosi
klūpėti, klū̃pi, klūpė́jo
klūpoti, klū́po, klū́pojo
knarkti, knar̃kia, knar̃kė
knežinti, knežina, knežino
knežti, knęža, knežo
kniaukti, kniaũkia, kniaũkė
knibždėti, knìbžda, knibždė́jo
knisti, knìsa, knìso
knistis, knìsasi, knìsosi
kniūbčioti, kniūbčioja, kniūbčiojo
koduoti, kodúoja, kodãvo
kolaboruoti, kolaboruoja, kolaboravo
kolekcionuoti, kolekcionúoja, kolekcionãvo
kolonizuoti, konolizuoja, kolonizãvo
kombinuoti, kombinúoja, kombinãvo
komentuoti, komentúoja, komentãvo
kompensuoti, kompensúoja, kompensãvo
kompiuterizuoti, kompiuterizuoja, kompiuterizavo
komponuoti, komponúoja, komponãvo
komunikuoti, komunikuoja, komunikavo
koncentruoti, koncentrúoja, koncentrãvo
koncertuoti, koncertúoja, koncertãvo
konfiskuoti, konfiskúoja, konfiskãvo
konkuruoti, konkurúoja, konkurãvo
konstruoti, konstrúoja, konstrãvo
konsultuoti, konsultúoja, konsultãvo
konsultuotis, konsultúojasi, konsultãvosi
kontempliuoti, kontempliuoja, kontempliavo
kontroliuoti, kontroliúoja, kontroliãvo
konvertuoti, konvertúoja, konvertãvo
koordinuoti, koordinúoja, koordinãvo
kopijuoti, kopijúoja, kopijãvo
kopti, kõpia, kõpė
koreguoti, koregúoja, koregãvo
korumpuoti, korumpuoja, korumpavo
kosėti, kósėja, kósėjo
košti, kóšia, kõšė
kovoti, kovója, kovójo
kraipyti, kraĩpo, kraĩpė
kramsnoti, kramsnója, kramsnójo
kramtyti, kram̃to, kram̃tė
kranksėti, kránksi, kranksė́jo
krapštyti, krãpšto, krãpštė
kratyti, krãto, krãtė
kratytis, krãtosi, krãtėsi
kraujuoti, kraujúoja, kraujãvo
kraustyti, kráusto, kráustėsi
kraustytis, kráustosi, kráustėsi
krauti, kráuna, króvė
krautis, kráunasi, króvėsi
kreipti, kreĩpia, kreĩpė
kreiptis, kreĩpiasi, kreĩpėsi
krėsti, kreĩpiasi, kreĩpėsi
krešti, krę̃šta, krẽšo
krieti, krieja, kriejo
krikdyti, krikdo, krikdė
krykštauti, krýkštauja, krýkštavo
krikštyti, krìkštija, krìkštijo
krikti, kriñka, krìko
krimsti, krimstà, krim̃to
krypti, krỹpsta, krỹpo
krypuoti, krypúoja, krypãvo
kristi, kreñta, krìto
kritikuoti, kritikúoja, kritikãvo
kryžiuoti, kryžiúoja, kryžiãvo
krūptelėti, krū́ptelėja, krū́ptelėjo
krustelėti, krùsteli, krùstelėjo
krušti, krušà, krùšo
krutėti, krùta, krutė́jo
krutinti, krùtina, krùtino
krutintis, krutinasi, krutinosi
kuisti, kuĩčia, kuitė
kulti, kùlia, kū́lė
kuopti, kuõpia, kuõpė
kuprintis, kuprinasi, kuprinosi
kūprintis, kuprinasi, kuprinosi
kūrenti, kūrẽna, kūrẽno
kursuoti, kursúoja, kursãvo
kurti, kùria, kū́rė
kušti, kùšta, kušo
kutenti, kutẽna, kutẽno
kvailinti, kvaĩlina, kvaĩlino
kvailioti, kvailiója, kvailiójo
kvalifikuoti, kvalifikúoti, kvalifikãvo
kvatoti, kvatója, kvatójo
kvatotis, kvatójasi, kvatójosi
kvepėti, kvẽpia, kvepė́jo
kvėpinti, kvėpìna, kvėpìno
kvėpuoti, kvėpúoja, kvėpãvo
kviesti, kviẽčia, kviẽtė
kviestis, kviẽčiasi, kviẽtėsi
labinti, lãbina, labino
laidyti, laĩdo, laidė̃
laidoti, láidoja, láidojo
laiduoti, laidúoja, laidãvo
laikinti, laikinà, laĩkino
laikyti, laĩko, laĩkė
laikytis, laĩkosi, laĩkėsi
laimėti, laĩmi, laimė́jo
laiminti, láimina, láimino
laipinti, laipìna, laipìno
laipioti, láipioja, láipiojo
laistyti, láisto, láistė
laisvėti, laisvė́ja, laisvė́jo
laisvinti, láisvina, láisvino
laižyti, laĩžo, laĩžė
laižytis, laĩžo, laĩžė
lakioti, lakiója, lakiójo
lakstyti, lãksto, lãkstė
lamdyti, lámdo, lámdė
landžioti, lándžioja, lándžiojo
lankyti, lañko, lañkė
lankytis, lañkosi, lañkėsi
lankstyti, lañksto, lañkstė
lanktytis, lañkosi, lañkėsi
lašėti, lãša, lašė́jo
lašnoti, lašnója, lašnójo
laukti, láukia, laũkė
lauktis, láukiasi, láukėsi
laužyti, láužo, láužė
laužti, láužia, láužė
lavinti, lavinà, lãvino
lavintis, lãvinasi, lãvino
lažintis, lãžinasi, lãžinosi
leisti, léidžia, léido
leistis, léidžiasi, léidosi
lekioti, lekiója, lekiójo
lėkti, lẽkia, lė̃kė
lemti, lẽmia, lė́mė
lengvėti, lengvė́ja, lengvė́jo
lengvinti, leñgvina, leñgvino
lenkti, leñkia, lénkė
lenktyniauti, lenktyniáuja, lenktyniãvo
lenktis, leñkiasi, leñkėsi
lepinti, lẽpina, lẽpino
lepintis, lẽpinasi, lẽpinosi
leptelėti, leptelėja, lèptelėjo
lepti, lémpa, lẽpo
lesinėti, lesinė́ja, lesinė́jo
lesinti, lẽsina, lẽsino
lesti, lẽsa, lẽsė
lėtinti, lė̃tina, lė̃tino
liaupsinti, liáupsina, liáupsino
